annotation_schema_version,annotation_id,doc_id,relative_path,statement_type,line_start,line_end,row_count,column_count,unit_normalized,expected_periods,notes
1,ann_a4e6e2cb1ac6101926fc0897dceac2a23da9236dd500c9ed823539e8abe591a6,doc_093e3bb0526e15c46ba11ea083bab55cce91a16523a9a9965ca5dba89fe925ad,GEG/2016/GEG_financial_statements_2016_consolidated/GEG_financial_statements_2016_consolidated_extracted.txt,balance_sheet,1005,1005,25,6,,,auto-mapped
1,ann_6bb7cb80e6206c14feeee10d2067c2fe508432b7e46a887f032873cf39a05ffa,doc_093e3bb0526e15c46ba11ea083bab55cce91a16523a9a9965ca5dba89fe925ad,GEG/2016/GEG_financial_statements_2016_consolidated/GEG_financial_statements_2016_consolidated_extracted.txt,income_statement,1053,1053,6,3,,,auto-mapped
1,ann_f40b553305f88ab6972c4cdb4c7c469612c92714629bae02ca876ad01e1b0243,doc_093e3bb0526e15c46ba11ea083bab55cce91a16523a9a9965ca5dba89fe925ad,GEG/2016/GEG_financial_statements_2016_consolidated/GEG_financial_statements_2016_consolidated_extracted.txt,cash_flow_statement,1089,1089,5,3,,,auto-mapped
1,ann_c714245b30b12251a5904ebaeaeb64ceb6aca1818fc2fd5ee1d5c81331ad1435,doc_093e3bb0526e15c46ba11ea083bab55cce91a16523a9a9965ca5dba89fe925ad,GEG/2016/GEG_financial_statements_2016_consolidated/GEG_financial_statements_2016_consolidated_extracted.txt,cash_flow_statement,1113,1113,7,3,,,auto-mapped
1,ann_e3eb4bfa17dbae05d0ee13a386993b73ef80f3e480296b31c5d72315b68a2619,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,balance_sheet,199,199,19,5,VND,,auto-mapped
1,ann_3b814046e22497201a6ed8be695f86c120e42cc92846569f9089b59399399648,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,balance_sheet,216,216,27,5,VND,,auto-mapped
1,ann_ac5a4b0e168ae790dd6ec1983b77586f633bedce64c4946f96c09d6a525a03cc,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,income_statement,248,248,11,5,VND,,auto-mapped
1,ann_3ff00b7c5e939dfc144bb726d89b12628935835ad6ade59bebd1ed4c058bf346,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,income_statement,279,279,15,5,VND,,auto-mapped
1,ann_4542af2d5ed4518df3357140f7976310ac1c6051ae871a61dd5ad489cdfd304a,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,income_statement,294,294,5,5,VND,,auto-mapped
1,ann_704240681dd4297be3d62cdc65bb83ec06e4d9c1916c934496ade851d0ed19ad,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,cash_flow_statement,325,325,25,5,VND,,auto-mapped
1,ann_e19aaf273c7223acb3c2baefafa9027c74ce06fd913f12a5c39467b4c7e7b849,doc_09fe4f39e4c380fc780b81b00517af4ec7f4a9384ec31f2bc67ab57eee9808fd,VIC/2017/VIC_financial_statements_2017_separate/VIC_financial_statements_2017_separate_extracted.txt,cash_flow_statement,342,342,9,5,VND,,auto-mapped
1,ann_48f91f273bc962d00d41c5aa0256775f3e4b192b1b7735d3ea12d864cc3fe633,doc_11f4c95ef793da898aa63db21c4c671cddca9f952887f64b5a128b64cbd467a3,HSG/2016/HSG_financial_statements_2016_consolidated/HSG_financial_statements_2016_consolidated_extracted.txt,balance_sheet,1188,1188,15,9,,,auto-mapped
1,ann_23c802847bea389a35b16765e9fecfb883dc8daccd7498fcfa0c9cc21bddd9d3,doc_11f4c95ef793da898aa63db21c4c671cddca9f952887f64b5a128b64cbd467a3,HSG/2016/HSG_financial_statements_2016_consolidated/HSG_financial_statements_2016_consolidated_extracted.txt,income_statement,1215,1215,8,3,,,auto-mapped
1,ann_54aa8aa01c54fe3a0d5674959bc2b24b0e4e95963fb062971df2a9783ce73078,doc_11f4c95ef793da898aa63db21c4c671cddca9f952887f64b5a128b64cbd467a3,HSG/2016/HSG_financial_statements_2016_consolidated/HSG_financial_statements_2016_consolidated_extracted.txt,cash_flow_statement,1290,1290,12,3,,,auto-mapped
1,ann_d2e3ebbe4982222309d36134de441d77003b6bfc5f965869fe58b2e9bd0eb724,doc_11f4c95ef793da898aa63db21c4c671cddca9f952887f64b5a128b64cbd467a3,HSG/2016/HSG_financial_statements_2016_consolidated/HSG_financial_statements_2016_consolidated_extracted.txt,cash_flow_statement,1294,1294,7,3,,,auto-mapped
1,ann_0ed91b9852fddb6ca319e763cd8f3e38a9c66495bda88a567983cd17ba17310d,doc_1c9c473cfa58482e1ef452e5092999b2792fec285a1ad45681cd4354c37f4976,IJC/2017/IJC_financial_statements_2017_separate/IJC_financial_statements_2017_separate_extracted.txt,balance_sheet,333,333,27,5,VND,,auto-mapped
1,ann_ea27d019610fe2182c3258332161c0d9c15ba6d3a2b6bba487843b9c7316c83a,doc_1c9c473cfa58482e1ef452e5092999b2792fec285a1ad45681cd4354c37f4976,IJC/2017/IJC_financial_statements_2017_separate/IJC_financial_statements_2017_separate_extracted.txt,balance_sheet,348,348,38,6,,,auto-mapped
1,ann_15f7fce4b07d981eb7e8eb61ac49b6ad6242fd9bb1d95cf0eb9e580b6cf71cbf,doc_1c9c473cfa58482e1ef452e5092999b2792fec285a1ad45681cd4354c37f4976,IJC/2017/IJC_financial_statements_2017_separate/IJC_financial_statements_2017_separate_extracted.txt,balance_sheet,378,378,23,6,,,auto-mapped
1,ann_ce9bfe154407a3d5e467c9268e1a3ec0cf1cdcb6fedae7a87f600e10cedda58e,doc_1c9c473cfa58482e1ef452e5092999b2792fec285a1ad45681cd4354c37f4976,IJC/2017/IJC_financial_statements_2017_separate/IJC_financial_statements_2017_separate_extracted.txt,balance_sheet,441,441,8,6,,,auto-mapped
1,ann_be2435aea8777dcb8a0012b31aeebe6b1d31601ddbf2ceb5c4697777f9f6f0da,doc_1c9c473cfa58482e1ef452e5092999b2792fec285a1ad45681cd4354c37f4976,IJC/2017/IJC_financial_statements_2017_separate/IJC_financial_statements_2017_separate_extracted.txt,cash_flow_statement,458,458,13,5,,,auto-mapped
1,ann_737243fe10c2324d38302419a75dd4fedecaa8340376bd64f0f5ec2f4104b13d,doc_3153a243f6b350ec4d0be841d2257bfc038dd94698a50c9fcc8a6d65090688b1,POW/2018/POW_financial_statements_2018_separate/POW_financial_statements_2018_separate_extracted.txt,balance_sheet,219,219,39,6,VND,,auto-mapped
1,ann_fb8cae65d28a2dba2904b634f65d6aaf5f0064d9bef6d896ade5a99e85261d7b,doc_3153a243f6b350ec4d0be841d2257bfc038dd94698a50c9fcc8a6d65090688b1,POW/2018/POW_financial_statements_2018_separate/POW_financial_statements_2018_separate_extracted.txt,income_statement,246,246,27,6,VND,,auto-mapped
1,ann_8b7430ee827a7d56538d43352d607ea4b60dbf9997d095248e92e323865321c3,doc_3153a243f6b350ec4d0be841d2257bfc038dd94698a50c9fcc8a6d65090688b1,POW/2018/POW_financial_statements_2018_separate/POW_financial_statements_2018_separate_extracted.txt,cash_flow_statement,321,321,23,5,VND,,auto-mapped
1,ann_ed3f8d3e125b75a929b87ee3004ac644bd622c95bf14bf2cbfa1c325990c3dad,doc_3153a243f6b350ec4d0be841d2257bfc038dd94698a50c9fcc8a6d65090688b1,POW/2018/POW_financial_statements_2018_separate/POW_financial_statements_2018_separate_extracted.txt,cash_flow_statement,350,350,10,4,VND,,auto-mapped
1,ann_4e7b0c0da0896094b8afd0db54bfe01f6066f964b90def01516373fd08c510d2,doc_317968435138a46a393dcbabc81329e37b7d7600a784bee8551a19578598c039,DBC/2017/DBC_financial_statements_2017_separate/DBC_financial_statements_2017_separate_extracted.txt,balance_sheet,263,263,35,5,VND,,auto-mapped
1,ann_c069bf9b38b653413c88a34bc6a2c1774608281fa8b9cbd0d70c4060e74b8657,doc_317968435138a46a393dcbabc81329e37b7d7600a784bee8551a19578598c039,DBC/2017/DBC_financial_statements_2017_separate/DBC_financial_statements_2017_separate_extracted.txt,income_statement,278,278,24,5,VND,,auto-mapped
1,ann_730bc777d4ca0d88ea4aa4d8a0fd7aca37eb2dd60bfe476f86631e8b0fe3de3e,doc_317968435138a46a393dcbabc81329e37b7d7600a784bee8551a19578598c039,DBC/2017/DBC_financial_statements_2017_separate/DBC_financial_statements_2017_separate_extracted.txt,income_statement,305,305,18,5,VND,,auto-mapped
