annotation_schema_version,sampling_version,cell_id,doc_id,relative_path,company_code,report_year,annotation_id,statement_type,table_id,row_idx,col_idx,row_label_raw,column_label_raw,value_raw,value_numeric,period,unit,source_line_start,source_line_end,source_excerpt,verified,review_notes
1,week1-pilot-v1,cell_a5bad07c550b351870565521633e13de544d5b32f8d17b48f06a2575e4b38c59,doc_eacbc7ceab65c68f8631b2cae1663c1390d55e5891ad8ce71ceb62ec0731249f,KHG/2023/KHG_financial_statements_2023_separate/KHG_financial_statements_2023_separate_extracted.txt,KHG,2023,ann_05e1ab051fc07218831d648f5546590e9901cc55be1dec7ae5ac0a124ea7456f,income_statement,tbl_4b2277a7e4fac95efaa2942fe786a994a2e6b5c8a7863da980e6800fbdebd24f,2,3,2. Các khoản giảm trừ doanh thu,Năm 2023,73.790.046.052,73790046052.0,2023,VND,244,244,<table><tr><td>CHỈ TIÊU</td><td>Mã số</td><td>Thuyết minh</td><td>Năm 2023</td><td>Năm 2022</td></tr><tr><td>1. Doanh thu bán hàng và cung cấp dịch vụ</td><td>01</td><td>23</td><td>404.320.394.132</td><td>1.425.523.660.274</td></tr><tr><td>2. Các khoản giảm trừ doanh thu</td><td>02</td><td>23</td><td>73.790.046.052</td><td>29.319.368.326</td></tr><tr><td>3. Doanh thu thuần về bán hàng và cung cấp dịch vụ</td><td>10</td><td>23</td><td>330.530.348.080</td><td>1.396.204.291.948</td></tr><tr><td>...,true,programmatically verified provenance
1,week1-pilot-v1,cell_a686abe17dfe8b19f47df57a9db792fbd4adcc42184ca032b1945b08c6db7483,doc_3a7a16664bf624f15f5f746e733fc404c5c66450ef82556adc62329cc1bdcd11,GEX/2018/GEX_financial_statements_2018_separate/GEX_financial_statements_2018_separate_extracted.txt,GEX,2018,ann_072ef84a2886b07f4a8414961f7f13aa0f10710d283989d4ae3bfe3da3d903ca,income_statement,tbl_9f1658d5fde298cbb39a161f146cc532cc48eab2ef7e3fb0a5b8e5dea1ce1446,19,2,I. Vốn chủ sở hữu,Thuyết minh,24,,,,306,306,<table><tr><td>Mã số</td><td>NGUỒN VỐN</td><td>Thuyết minh</td><td>Số cuối năm</td><td>Số đầu năm</td></tr><tr><td>300</td><td>C. NỘ PHẢI TRẢ</td><td></td><td>3.595.377.615.815</td><td>2.996.133.685.201</td></tr><tr><td>310</td><td>I. Nợ ngắn hạn</td><td></td><td>2.843.715.330.436</td><td>1.761.766.527.281</td></tr><tr><td>311</td><td>1. Phải trả người bán ngắn hạn</td><td>17</td><td>1.051.778.144.677</td><td>215.908.129.840</td></tr><tr><td>312</td><td>2. Người mua trả tiền trước ngắn hạn</t...,true,programmatically verified provenance
1,week1-pilot-v1,cell_88e478ca49b3b23aa017adf4a83c82d07cb63fb47f753465ccb8c09f613aa0c2,doc_f204acc195a57df6f8838aba32bfcef5372e9bae45ec3b92420ec03d1fe759f0,NLG/2024/NLG_financial_statements_2024_consolidated/NLG_financial_statements_2024_consolidated_extracted.txt,NLG,2024,ann_0885badbd15a2ed9f82b29c65053e3e23fbdb3e39d37ff17b3770754fb73b2be,balance_sheet,tbl_58534e3c556193fdb306d9880bd3d587db4cc417aa99856aa25814cb40cd45bb,18,2,2. Thuế giá trị gia tăng được khấu trừ,Thuyết minh,21,,,,200,200,<table><tr><td>Mã số</td><td>TÀI SẢN</td><td>Thuyết minh</td><td>Số cuối năm</td><td>Số đầu năm</td></tr><tr><td>100</td><td>A. TÀI SẢN NGĂN HẠN</td><td></td><td>27.549.227.406.220</td><td>25.313.340.937.922</td></tr><tr><td>110</td><td>I. Tiền và các khoản tương đương tiền</td><td>5</td><td>5.443.293.611.458</td><td>2.540.097.046.548</td></tr><tr><td>111</td><td>1. Tiền</td><td></td><td>1.384.366.865.816</td><td>659.340.439.798</td></tr><tr><td>112</td><td>2. Các khoản tương đương tiền</td><...,true,programmatically verified provenance
1,week1-pilot-v1,cell_07cdf888e6737a09c721c168c13cb2016faf23809485ac78cfb41a7895e2cb00,doc_a7f13a7605e4e3aedbec9c2c98888ccbdef7436569200078d5f697d680179ba8,FPT/2021/FPT_financial_statements_2021_consolidated/FPT_financial_statements_2021_consolidated_extracted.txt,FPT,2021,ann_1a51dac9f6e105eb9f882d1be83eface742eb9995d231072df2fc660c78ceee8,balance_sheet,tbl_6a9c1a43349588d43f1f268543281c628fcf98b50144951b56348c81f3469cfd,0,3,,,Tại ngày 31 tháng 12 năm,,,,260,260,"<table><tr><td rowspan=""2"">Mã số</td><td rowspan=""2"">TÀI SẢN</td><td rowspan=""2"">Thuyết minh</td><td colspan=""2"">Tại ngày 31 tháng 12 năm</td></tr><tr><td>2021 VND</td><td>2020 VND(Phân loại lại – Thuyết minh 37)</td></tr><tr><td>100</td><td>TÀI SẢN NGẮN HẠN</td><td></td><td>35.118.372.900.846</td><td>25.265.933.056.476</td></tr><tr><td>110</td><td>Tiền và các khoản tương đương tiền</td><td>4</td><td>5.417.845.293.242</td><td>4.686.191.374.038</td></tr><tr><td>111</td><td>Tiền</td><td></td><t...",true,programmatically verified provenance
1,week1-pilot-v1,cell_00a6b96206626eed961e64fde643233cc04be74f4d6ed821bc23683a43a22620,doc_4e83387e664068ed2108ed1ed1ea68c8c09f748712230f0a3a8ecd729690793a,NLG/2025/NLG_financial_statements_2025_consolidated/NLG_financial_statements_2025_consolidated_extracted.txt,NLG,2025,ann_1fc2ba09b169632fc5efa392c5c142f3babdfe868a84b980d2efa3d5c0ac3de4,balance_sheet,tbl_dda0bf6c38a82e87750efe95a40298f40ba193acc9346625067e9fe117cc7f2c,0,2,,,Thuyết minh,,,,223,223,<table><tr><td>Mã số</td><td>TÀI SẢN</td><td>Thuyết minh</td><td>Số cuối năm</td><td>Số đầu năm</td></tr><tr><td>100</td><td>A. TÀI SẢN NGẮN HẠN</td><td></td><td>19.246.030.470.379</td><td>27.549.227.406.220</td></tr><tr><td>110</td><td>I. Tiền và các khoản tương đương tiền</td><td>5</td><td>6.814.304.742.347</td><td>5.443.293.611.458</td></tr><tr><td>111</td><td>1. Tiền</td><td></td><td>1.708.379.074.804</td><td>1.384.366.865.816</td></tr><tr><td>112</td><td>2. Các khoản tương đương tiền</td...,true,programmatically verified provenance
1,week1-pilot-v1,cell_78bb5e75703e3c2bb93afdd1131a375aca10360cc42f735c47dad934f6179203,doc_dccc39b21de8ba012f81d9c22e2a8c9718d653e2c646ae3f57ac80f04faa6b30,MWG/2017/MWG_financial_statements_2017_consolidated/MWG_financial_statements_2017_consolidated_extracted.txt,MWG,2017,ann_2b0534a03c187014e9f5600dd38a77f4d37dd13b02f0759afc822ed514f58c81,cash_flow_statement,tbl_940d824aee48ee751ddb536ee0301ea33b453e226c6c66409017f594c8eb36be,19,3,1. Phải thu dài hạn khác,Số cuối năm,242.115.970.118,242115970118.0,,,202,202,<table><tr><td>Mã số</td><td>TÀI SẢN</td><td>Thuyết minh</td><td>Số cuối năm</td><td>Số đầu năm</td></tr><tr><td>100</td><td>A. TÀI SẢN NGẮN HẠN</td><td></td><td>18.862.861.306.281</td><td>12.288.142.407.269</td></tr><tr><td>110</td><td>I. Tiền và các khoản tương đương tiền</td><td>4</td><td>3.410.983.351.393</td><td>996.983.462.012</td></tr><tr><td>111</td><td>1. Tiền</td><td></td><td>2.189.863.295.952</td><td>994.084.241.883</td></tr><tr><td>112</td><td>2. Các khoản tương đương tiền</td><td...,true,programmatically verified provenance
1,week1-pilot-v1,cell_f6eaa27b517bad758a7e576ad3af0031f3995e390bfdb9c9f0c647dbc93b9ac6,doc_c6abaf23d7df797d2a10bcd1eab436045e51d656441f59d6b4bc189c09eac71e,VSF/2024/VSF_financial_statements_2024_consolidated/VSF_financial_statements_2024_consolidated_extracted.txt,VSF,2024,ann_38cf9513bc5e6638f07d5859783d2f70571b9e083a42cc94e778940e1f8d2f39,balance_sheet,tbl_dd25f8d8c7d7aa99ac0d2c2e807ee5cff505a43ad2a60d5d6d962254e97ef0dd,20,1,Vốn góp của chủ sở hữu,NGUỒN VỐN,Vốn góp của chủ sở hữu,,,,417,417,<table><tr><td></td><td>NGUỒN VỐN</td><td>MS</td><td>TM</td><td>31/12/2024VND</td><td>01/01/2024VND</td></tr><tr><td>C-</td><td>NỘ PHẢI TRẢ (300=310+330)</td><td>300</td><td></td><td>3.898.342.058.439</td><td>3.768.620.957.268</td></tr><tr><td>I.</td><td>Nợ ngắn hạn</td><td>310</td><td></td><td>2.511.584.722.906</td><td>2.393.629.097.486</td></tr><tr><td>1.</td><td>Phải trả người bán ngắn hạn</td><td>311</td><td>5.18</td><td>149.699.442.647</td><td>450.622.258.267</td></tr><tr><td>2.</td><td>...,true,programmatically verified provenance
1,week1-pilot-v1,cell_d0aee7ec856d1365782a3723662115a0f97fcbee081290dd17a6bdad39d307fb,doc_767612e8342e4558c1ebc9ddc18a47145e052ad707328b9ced883d5555318fae,FPT/2016/FPT_financial_statements_2016_separate/FPT_financial_statements_2016_separate_extracted.txt,FPT,2016,ann_3b4e7ebcac99fd4f709dfd8c0cc17322e82a4d890f731b30e316a3d3299a4624,balance_sheet,tbl_b48e3ba6819f18e2c48533472b910ee4a21a1e9b2cdd39b458b7e075ff83ef49,1,2,A. TÀI SẢN NGĂN HẠN,Thuyết minh,,,,,190,190,<table><tr><td>TÀI SẢN</td><td>Mã số</td><td>Thuyết minh</td><td>Số cuối năm</td><td>Số đầu năm</td></tr><tr><td>A. TÀI SẢN NGĂN HẠN</td><td>100</td><td></td><td>6.099.636.782.388</td><td>4.156.606.447.858</td></tr><tr><td>I. Tiến và các khoản tương đương tiền</td><td>110</td><td>5</td><td>2.853.809.981.427</td><td>1.369.140.931.655</td></tr><tr><td>1. Tiến</td><td>111</td><td></td><td>208.809.981.427</td><td>154.440.931.655</td></tr><tr><td>2. Các khoản tương đương tiền</td><td>112</td><td><...,true,programmatically verified provenance
1,week1-pilot-v1,cell_0f5bc8f1b5547e37cde5eb4165b73ebfefd56489fd6765518d528a7908de626a,doc_a6bea827edb0c55e19bca861bf039b05224799f3efb4b3252b7d8b6e028c7a57,ACB/2022/ACB_financial_statements_2022_separate/ACB_financial_statements_2022_separate_extracted.txt,ACB,2022,ann_427559b21deac48fb80f1e19aa2565e9e145f0136261b3d3df7a7812cf7a29b6,income_statement,tbl_794c1380d670f8830a79c83990904667a8341df19800cfac526675a3b142002f,15,1,VIII,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,,177,177,"<table><tr><td rowspan=""2"" colspan=""2""></td><td colspan=""3"">Tại ngày</td></tr><tr><td>Thuyết minh</td><td>31.12.2022 Triệu VND</td><td>31.12.2021 Triệu VND</td></tr><tr><td>B</td><td>NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU</td><td></td><td></td><td></td></tr><tr><td>I</td><td>Các khoản nợ Chính phủ và Ngân hàng Nhà nước</td><td>14</td><td>505.876</td><td>-</td></tr><tr><td>1</td><td>Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước</td><td></td><td>505.876</td><td>-</td></tr><tr><td>II</td><td>Tiền gửi và ...",true,programmatically verified provenance
1,week1-pilot-v1,cell_effb8aa133e174f67722d96371d2ee525ef9fec6cf448c9f0dd44857ef28a3f1,doc_5a553261aedcfdc7ba2e23e1f70d95f19983152f7034dbcfd98522913a23e90e,ACB/2015/ACB_financial_statements_2015_separate/ACB_financial_statements_2015_separate_extracted.txt,ACB,2015,ann_44cb2627493dee1b034d7efedd1a5e21d7f98293197f201084d85b7c3124a9b4,income_statement,tbl_b98227e7b7f6e802601cbf2665fe9ef33623955f9a09c5575c24906308e1d764,12,2,VI,Thuyết minh,32,,,,362,362,"<table><tr><td colspan=""2""></td><td>Thuyết minh</td><td>2015Triệu VND</td><td>2014Triệu VND(phân loại lại)</td></tr><tr><td>1</td><td>Thu nhập lãi và các khoản thu nhập tương tự</td><td>25</td><td>13.867.746</td><td>13.440.026</td></tr><tr><td>2</td><td>Chỉ phí lãi và các chi phí tương tự</td><td>26</td><td>(8.230.631)</td><td>(8.955.948)</td></tr><tr><td>I</td><td>Thu nhập lãi thuần</td><td></td><td>5.637.115</td><td>4.484.078</td></tr><tr><td>3</td><td>Thu nhập từ hoạt động dịch vụ</td><td>...",true,programmatically verified provenance
